Team Name,Number of All Star Players,Percentage of Conference Wins,Percentage of Conference Losses,Season
Washington Wizards,2,0.46,0.54,2021
Charlotte Hornets,3,0.52,0.48,2021
Miami Heat,4,0.67,0.33,2021
Atlanta Hawks,1,0.5,0.5,2021
New York Knicks,3,0.42,0.58,2021
Brooklyn Nets,7,0.6,0.4,2021
Toronto Raptors,2,0.58,0.42,2021
Boston Celtics,3,0.63,0.37,2021
Chicago Bulls,3,0.56,0.44,2021
Milwaukee Bucks,4,0.63,0.37,2021
Cleveland Cavaliers,4,0.52,0.48,2021
Memphis Grizzlies,1,0.69,0.31,2021
Houston Rockets,1,0.21,0.79,2021
Dallas Mavericks,1,0.69,0.31,2021
San Antonio Spurs,1,0.46,0.54,2021
New Orleans Pelicans,2,0.48,0.52,2021
Golden State Warriors,5,0.63,0.37,2021
Sacramento Kings,1,0.38,0.62,2021
Phoenix Suns,2,0.75,0.25,2021
Los Angeles Lakers,5,0.35,0.65,2021
Utah Jazz,3,0.63,0.37,2021
Minnesota Timberwolves,2,0.62,0.38,2021
Denver Nuggets,2,0.56,0.44,2021
Portland Trail Blazers,1,0.21,0.79,2021
Miami Heat,4,0.46,0.35,2020
Atlanta Hawks,1,0.46,0.35,2020
Charlotte Hornets,3,0.38,0.42,2020
Washington Wizards,2,0.31,0.5,2020
Brooklyn Nets,7,0.5,0.31,2020
Boston Celtics,3,0.38,0.42,2020
New York Knicks,3,0.48,0.33,2020
Toronto Raptors,2,0.33,0.48,2020
Chicago Bulls,3,0.4,0.4,2020
Milwaukee Bucks,4,0.58,0.23,2020
Cleveland Cavaliers,4,0.31,0.5,2020
Houston Rockets,1,0.21,0.6,2020
Dallas Mavericks,1,0.4,0.4,2020
Memphis Grizzlies,1,0.37,0.44,2020
San Antonio Spurs,1,0.33,0.48,2020
New Orleans Pelicans,2,0.35,0.46,2020
Phoenix Suns,2,0.58,0.23,2020
Sacramento Kings,1,0.35,0.46,2020
Los Angeles Lakers,5,0.48,0.33,2020
Golden State Warriors,5,0.48,0.33,2020
Utah Jazz,3,0.54,0.27,2020
Denver Nuggets,2,0.5,0.31,2020
Minnesota Timberwolves,2,0.29,0.52,2020
Portland Trail Blazers,1,0.44,0.37,2020
Atlanta Hawks,1,0.31,0.69,2019
Charlotte Hornets,3,0.56,0.44,2019
Miami Heat,4,0.44,0.56,2019
Washington Wizards,2,0.37,0.63,2019
Boston Celtics,3,0.67,0.33,2019
Brooklyn Nets,7,0.56,0.44,2019
New York Knicks,3,0.21,0.79,2019
Toronto Raptors,2,0.69,0.31,2019
Chicago Bulls,3,0.31,0.69,2019
Cleveland Cavaliers,4,0.29,0.71,2019
Milwaukee Bucks,4,0.77,0.23,2019
Dallas Mavericks,1,0.35,0.65,2019
Houston Rockets,1,0.62,0.38,2019
Memphis Grizzlies,1,0.46,0.54,2019
New Orleans Pelicans,2,0.44,0.56,2019
San Antonio Spurs,1,0.58,0.42,2019
Golden State Warriors,5,0.67,0.33,2019
Los Angeles Lakers,5,0.48,0.52,2019
Phoenix Suns,2,0.21,0.79,2019
Sacramento Kings,1,0.4,0.6,2019
Denver Nuggets,2,0.65,0.35,2019
Minnesota Timberwolves,2,0.42,0.58,2019
Portland Trail Blazers,1,0.56,0.44,2019
Utah Jazz,3,0.58,0.42,2019
Atlanta Hawks,1,0.31,0.69,2018
Charlotte Hornets,3,0.56,0.44,2018
Miami Heat,4,0.44,0.56,2018
Washington Wizards,2,0.37,0.63,2018
Boston Celtics,3,0.67,0.33,2018
Brooklyn Nets,7,0.56,0.44,2018
New York Knicks,3,0.21,0.79,2018
Toronto Raptors,2,0.69,0.31,2018
Chicago Bulls,3,0.31,0.69,2018
Cleveland Cavaliers,4,0.29,0.71,2018
Milwaukee Bucks,4,0.77,0.23,2018
Dallas Mavericks,1,0.35,0.65,2018
Houston Rockets,1,0.62,0.38,2018
Memphis Grizzlies,1,0.46,0.54,2018
New Orleans Pelicans,2,0.44,0.56,2018
San Antonio Spurs,1,0.58,0.42,2018
Golden State Warriors,5,0.67,0.33,2018
Los Angeles Lakers,5,0.48,0.52,2018
Phoenix Suns,2,0.21,0.79,2018
Sacramento Kings,1,0.4,0.6,2018
Denver Nuggets,2,0.65,0.35,2018
Minnesota Timberwolves,2,0.42,0.58,2018
Portland Trail Blazers,1,0.56,0.44,2018
Utah Jazz,3,0.58,0.42,2018
